,data,name
9,1.65,Hex
9,1.9,Hex
9,2.27,Hex
9,2.23,Hex
9,2.05,Hex
9,2.4,Hex
9,2.11,Hex
9,1.9,Hex
9,2.25,Hex
9,2.01,Hex
9,2.04,Hex
9,2.71,Hex
9,2.06,Hex
9,2.11,Hex
9,2.09,Hex
9,2.25,Hex
9,2.39,Hex
10,1.84,Maven
10,1.79,Maven
10,2.17,Maven
10,1.48,Maven
10,1.51,Maven
10,2.0,Maven
10,1.65,Maven
10,1.97,Maven
10,1.73,Maven
10,1.78,Maven
10,1.69,Maven
10,1.97,Maven
10,1.75,Maven
10,1.59,Maven
10,1.67,Maven
10,1.78,Maven
10,1.52,Maven
10,1.64,Maven
10,1.95,Maven
10,1.87,Maven
10,1.9,Maven
10,1.86,Maven
10,2.07,Maven
10,2.07,Maven
10,2.26,Maven
10,2.22,Maven
10,2.32,Maven
10,2.16,Maven
10,2.27,Maven
10,2.46,Maven
10,2.57,Maven
10,2.47,Maven
10,2.76,Maven
10,2.81,Maven
10,2.86,Maven
10,2.69,Maven
10,2.87,Maven
10,3.04,Maven
10,3.25,Maven
10,3.36,Maven
10,3.15,Maven
10,3.21,Maven
10,3.42,Maven
10,3.31,Maven
10,3.37,Maven
11,0.0,Meteor
11,0.0,Meteor
11,0.0,Meteor
11,4.55,Meteor
11,4.0,Meteor
11,9.09,Meteor
11,4.17,Meteor
11,4.17,Meteor
11,3.85,Meteor
11,3.33,Meteor
11,2.99,Meteor
11,1.56,Meteor
11,3.41,Meteor
11,1.67,Meteor
11,1.46,Meteor
11,1.28,Meteor
11,1.01,Meteor
11,1.52,Meteor
11,1.16,Meteor
11,2.59,Meteor
11,2.51,Meteor
11,1.98,Meteor
11,2.13,Meteor
11,2.13,Meteor
11,2.09,Meteor
11,2.09,Meteor
11,2.21,Meteor
11,2.09,Meteor
11,1.8,Meteor
11,2.29,Meteor
11,2.52,Meteor
11,2.27,Meteor
11,2.6,Meteor
11,2.81,Meteor
11,2.91,Meteor
11,2.78,Meteor
11,2.8,Meteor
11,2.89,Meteor
11,2.94,Meteor
11,3.29,Meteor
11,2.77,Meteor
11,2.68,Meteor
11,3.71,Meteor
11,3.22,Meteor
11,3.34,Meteor
12,2.29,NPM
12,1.43,NPM
12,1.85,NPM
12,2.19,NPM
12,1.59,NPM
12,2.29,NPM
12,2.4,NPM
